1 Thread, 1 Increment
Expected Result: 1
Method One,40000,0.000233792
Method Two,40000,0.00441712
Method Three,40000,0.00454535
Method Four,40000,0.000613815
Method Five,40000,0.000297538

Method One,40000,0.000246933
Method Two,40000,0.00503991
Method Three,40000,0.00196786
Method Four,40000,0.000894009
Method Five,40000,0.000199083

Method One,40000,0.000246929
Method Two,40000,0.00409433
Method Three,40000,0.0048581
Method Four,40000,0.00116711
Method Five,40000,0.000287242

Method One,40000,0.000196657
Method Two,40000,0.00498083
Method Three,40000,0.00186916
Method Four,40000,0.000978748
Method Five,40000,0.000219006

Threads 4, Increments 1000000
Expected Result: 4000000
Method One,2455078,0.0181751
Method Two,4000000,0.903475
Method Three,4000000,1.01175
Method Four,4000000,0.113676
Method Five,4000000,0.0116194

Method One,2003333,0.0155522
Method Two,4000000,0.957765
Method Three,4000000,0.999166
Method Four,4000000,0.119903
Method Five,4000000,0.0171463

Method One,1130696,0.0185685
Method Two,4000000,0.940762
Method Three,4000000,1.01324
Method Four,4000000,0.116821
Method Five,4000000,0.0224846

Method One,2136548,0.0151564
Method Two,4000000,0.982613
Method Three,4000000,0.945025
Method Four,4000000,0.115148
Method Five,4000000,0.0166218

Method One,1853688,0.0174424
Method Two,4000000,0.919511
Method Three,4000000,0.941524
Method Four,4000000,0.103368
Method Five,4000000,0.0216849

Threads 4, Increments 10000000
Expected Result: 40000000
Method One,11424080,0.188671
Method Two,40000000,9.13597
Method Three,40000000,9.85361
Method Four,40000000,1.20582
Method Five,40000000,0.196964

Method One,12608522,0.164093
Method Two,40000000,8.59815
Method Three,40000000,9.7793
Method Four,40000000,1.14662
Method Five,40000000,0.229984

Method One,12499868,0.174617
Method Two,40000000,9.31315
Method Three,40000000,9.9213
Method Four,40000000,1.16039
Method Five,40000000,0.189725

Method One,10819606,0.239874
Method Two,40000000,9.14765
Method Three,40000000,8.84683
Method Four,40000000,1.22207
Method Five,40000000,0.159723

Method One,11437847,0.21004
Method Two,40000000,8.55533
Method Three,40000000,8.95959
Method Four,40000000,1.08644
Method Five,40000000,0.183325

Threads 16, Increments 1
Expected Result: 16
Method One,16,0.000586023
Method Two,16,0.000195332
Method Three,16,0.000223323
Method Four,16,0.000255388
Method Five,16,0.000149305

Method One,16,0.000534511
Method Two,16,0.000283103
Method Three,16,0.000246117
Method Four,16,0.000212606
Method Five,16,0.000189225

Method One,15,0.000308786
Method Two,16,0.000270311
Method Three,16,0.000236633
Method Four,16,0.00021994
Method Five,16,0.000179199

Method One,16,0.00049012
Method Two,16,0.000220123
Method Three,16,0.000222201
Method Four,16,0.000224959
Method Five,16,0.000208268

Method One,16,0.000470291
Method Two,16,0.000197446
Method Three,16,0.000300914
Method Four,16,0.000186938
Method Five,16,0.000179194

Threads 16, Increments 100
Expected Result: 1600
Method One,1600,0.000493758
Method Two,1600,0.000574966
Method Three,1600,0.000339956
Method Four,1600,0.000260051
Method Five,1600,0.000234915

Method One,1600,0.00043902
Method Two,1600,0.00030693
Method Three,1600,0.00038768
Method Four,1600,0.000318614
Method Five,1600,0.000214571

Method One,1600,0.000432307
Method Two,1600,0.000358888
Method Three,1600,0.000333128
Method Four,1600,0.000194698
Method Five,1600,0.000195132

Method One,1600,0.000309885
Method Two,1600,0.000652694
Method Three,1600,0.00035167
Method Four,1600,0.000213051
Method Five,1600,0.000366547

Method One,1600,0.000227436
Method Two,1600,0.000374595
Method Three,1600,0.000363592
Method Four,1600,0.000234587
Method Five,1600,0.000292785

Threads 16, Increments 10000
Expected Result: 160000
Method One,131746,0.000654472
Method Two,160000,0.0465435
Method Three,160000,0.0556181
Method Four,160000,0.00395049
Method Five,160000,0.00112542

Method One,103238,0.000729466
Method Two,160000,0.0462908
Method Three,160000,0.055612
Method Four,160000,0.0038433
Method Five,160000,0.000659631

Method One,160000,0.000987107
Method Two,160000,0.0470869
Method Three,160000,0.0519633
Method Four,160000,0.00343431
Method Five,160000,0.00097768

Method One,160000,0.000733039
Method Two,160000,0.0467422
Method Three,160000,0.0538501
Method Four,160000,0.00471946
Method Five,160000,0.000992217

Method One,160000,0.000781625
Method Two,160000,0.0380798
Method Three,160000,0.0560003
Method Four,160000,0.0045906
Method Five,160000,0.000620145

Threads 16, Increments 1000000
Expected Result: 16000000
Method One,3741459,0.088889
Method Two,16000000,4.86613
Method Three,16000000,5.45519
Method Four,16000000,0.475049
Method Five,16000000,0.0991752

Method One,4492419,0.0846156
Method Two,16000000,4.92775
Method Three,16000000,5.32146
Method Four,16000000,0.47112
Method Five,16000000,0.103286

Method One,3305958,0.0655174
Method Two,16000000,4.90945
Method Three,16000000,5.25897
Method Four,16000000,0.475434
Method Five,16000000,0.105397

Method One,4335694,0.0792518
Method Two,16000000,4.99961
Method Three,16000000,5.27092
Method Four,16000000,0.461025
Method Five,16000000,0.101091

Method One,2914387,0.0636943
Method Two,16000000,4.92782
Method Three,16000000,5.50748
Method Four,16000000,0.551912
Method Five,16000000,0.0798096

Threads 16, Increments 10000000
Expected Result: 160000000
Method One,20706205,1.00493
Method Two,160000000,48.5982
Method Three,160000000,52.1956
Method Four,160000000,5.15047
Method Five,160000000,0.634642

Method One,21671700,1.01451
Method Two,160000000,49.068
Method Three,160000000,52.5827
Method Four,160000000,4.73782
Method Five,160000000,1.03548

Method One,23846416,0.999318
Method Two,160000000,48.5924
Method Three,160000000,52.5748
Method Four,160000000,5.87627
Method Five,160000000,0.84469

Method One,20095117,1.01399
Method Two,160000000,47.8544
Method Three,160000000,52.4619
Method Four,160000000,4.51854
Method Five,160000000,0.809969

Method One,24964088,0.992408
Method Two,160000000,49.0769
Method Three,160000000,52.5528
Method Four,160000000,4.83695
Method Five,160000000,0.854315

Threads 24, Increments 1
Expected Result: 24
Method One,24,0.000586659
Method Two,24,0.000415677
Method Three,24,0.00030964
Method Four,24,0.000349535
Method Five,24,0.000284057

Method One,24,0.000525488
Method Two,24,0.000326818
Method Three,24,0.00029472
Method Four,24,0.000283983
Method Five,24,0.000283397

Method One,24,0.000560541
Method Two,24,0.000453457
Method Three,24,0.000356503
Method Four,24,0.000420577
Method Five,24,0.000297925

Method One,24,0.00051026
Method Two,24,0.000389929
Method Three,24,0.000366636
Method Four,24,0.000312223
Method Five,24,0.000299931

Method One,24,0.000505251
Method Two,24,0.000488038
Method Three,24,0.000375145
Method Four,24,0.000261677
Method Five,24,0.000219541

Threads 24, Increments 100
Expected Result: 2400
Method One,2400,0.000582509
Method Two,2400,0.000696242
Method Three,2400,0.000446369
Method Four,2400,0.000310937
Method Five,2400,0.000224576

Method One,2300,0.000655772
Method Two,2400,0.000579435
Method Three,2400,0.00081985
Method Four,2400,0.000393411
Method Five,2400,0.000301957

Method One,2400,0.000519376
Method Two,2400,0.000516802
Method Three,2400,0.000496234
Method Four,2400,0.000328934
Method Five,2400,0.000267007

Method One,2400,0.000433592
Method Two,2400,0.000484317
Method Three,2400,0.000620779
Method Four,2400,0.000279141
Method Five,2400,0.000427517

Method One,2294,0.00033836
Method Two,2400,0.000686679
Method Three,2400,0.00082594
Method Four,2400,0.000354503
Method Five,2400,0.000304656

Threads 24, Increments 10000
Expected Result: 240000
Method One,224297,0.00147304
Method Two,240000,0.026456
Method Three,240000,0.0811466
Method Four,240000,0.00517767
Method Five,240000,0.00115287

Method One,217540,0.00100416
Method Two,240000,0.0799996
Method Three,240000,0.0965833
Method Four,240000,0.00604674
Method Five,240000,0.00132915

Method One,209794,0.00103723
Method Two,240000,0.0680905
Method Three,240000,0.0863016
Method Four,240000,0.00522563
Method Five,240000,0.000981144

Method One,240000,0.00108804
Method Two,240000,0.0819642
Method Three,240000,0.0777403
Method Four,240000,0.00823677
Method Five,240000,0.00142733

Method One,240000,0.00109184
Method Two,240000,0.0691677
Method Three,240000,0.0925608
Method Four,240000,0.00836843
Method Five,240000,0.00141826

Threads 24, Increments 1000000
Expected Result: 24000000
Method One,4133653,0.153977
Method Two,24000000,8.61868
Method Three,24000000,9.36231
Method Four,24000000,0.690217
Method Five,24000000,0.115876

Method One,4189283,0.110554
Method Two,24000000,8.72667
Method Three,24000000,9.36462
Method Four,24000000,0.682337
Method Five,24000000,0.1145

Method One,5408447,0.109006
Method Two,24000000,8.76181
Method Three,24000000,9.2915
Method Four,24000000,0.949483
Method Five,24000000,0.140267

Method One,3833563,0.109649
Method Two,24000000,8.71407
Method Three,24000000,9.26365
Method Four,24000000,0.958991
Method Five,24000000,0.105935

Method One,4606715,0.126806
Method Two,24000000,8.635
Method Three,24000000,9.3668
Method Four,24000000,0.882641
Method Five,24000000,0.122878

Threads 24, Increments 10000000
Expected Result: 240000000
Method One,38745937,1.44466
Method Two,240000000,86.0215
Method Three,240000000,89.8606
Method Four,240000000,6.96039
Method Five,240000000,1.56503

Method One,21834247,1.63607
Method Two,240000000,83.9005
Method Three,240000000,78.841
Method Four,240000000,7.97624
Method Five,240000000,1.45989

Method One,16198844,1.81819
Method Two,240000000,86.0059
Method Three,240000000,87.2527
Method Four,240000000,7.07959
Method Five,240000000,1.09585

Method One,38793480,1.46318
