1, 100, 635546.092980, 739634.029082, 808067.748400, 723452.895982, 755275.600066, 850904.511496, 779514.362552, 827684.387389, 733062.588884, 995262.550261 
1, 1000, 4640414.296188, 6162302.729284, 6300959.005961, 4664048.580730, 4761428.619043, 4643430.938252, 3045298.819947, 3389416.884719, 3382423.574139, 2517724.782469 
4, 100, 2225919.722205, 2275066.972284, 172897.533573, 1933375.867602, 2061324.400928, 2531341.167834, 1643432.637750, 1868547.671322, 1790133.678232, 1606961.356597 
4, 1000, 3432836.973714, 5169341.154547, 8627997.420229, 2783344.466711, 5085448.244122, 1203.663878, 2384571.820323, 5648823.914861, 3170765.541705, 2336799.391030 
16, 100, 2383854.155803, 1965039.491153, 2299950.982295, 2264826.117975, 2370254.491262, 2301221.229341, 1771467.417178, 1386640.412942, 2058881.435452, 1468730.722909 
16, 1000, 2473387.127442, 9216430.591637, 4532752.536642, 1560359.534143, 2574393.537242, 1672.812661, 1942848.441672, 1625027.536599, 2663677.133031, 177333.187713 
24, 100, 2980144.785367, 2700616.415697, 1036095.852681, 2921798.074535, 3206292.884167, 1034.241511, 441565.031582, 1803651.492446, 1902644.834874, 1581421.460680 
24, 1000, 9757366.811943, 586316.401249, 1769266.426754, 6922071.891485, 316985.087212, 2408.378105, 124558.892846, 4193017.891433, 4412832.221913, 1215858.195269 
32, 100, 3649905.615722, 2210863.908890, 878391.862139, 3391368.120292, 1389868.553182, 1027.010753, 1830484.546420, 1458644.244874, 1796347.016071, 18280.342894 
32, 1000, 2487412.719991, 1070099.689149, 10234006.965521, 3704934.393716, 1399113.285722, 1026.505238, 4093774.034931, 1336990.392011, 612079.082301, 575064.199179 
48, 100, 1932818.451973, 2673576.376279, 833239.159949, 2320780.168933, 1564262.850908, 1018.635516, 1475990.251084, 1110950.640463, 28012.155058, 1746861.563041 
48, 1000, 2410173.099636, 433413.790584, 3845564.685923, 1391098.626516, 335243.242020, 1018.305629, 238249.395854, 303744.997367, 2646705.069990, 345282.721917 
64, 100, 2857187.500698, 1138646.387849, 1130103.121910, 1893020.669419, 67838.404807, 1012.592029, 27957.287346, 2968161.367803, 3386238.011262, 1129320.223337 
64, 1000, 2573523.557472, 453226.048496, 5243397.702048, 1038434.741353, 331178.234097, 1013.679757, 166026.505644, 314980.342544, 3861844.911929, 178581.889863 
