1, 100, 1482799.525504, 2533248.891704, 2258253.918071, 2658089.896600, 2187370.124899, 2614857.621003, 2151925.973747, 2057232.199798, 2871088.142406, 2506579.771901 
1, 1000, 8052113.277130, 12539499.423183, 12405408.758219, 11184806.558771, 6140695.618000, 6515294.654201, 4796209.076346, 5167344.450014, 7016706.778840, 4829028.254644 
1, 10000, 11738949.246653, 17247445.653299, 16802627.931008, 15501616.818634, 7521686.903765, 7738273.034130, 5262515.313920, 5803483.599065, 8250246.476113, 5370851.956762 
4, 100, 3095855.423552, 7711586.658955, 3538163.516227, 3774581.965047, 3586832.737022, 2997646.847225, 2707312.450930, 2721477.217834, 3450149.650241, 3484017.071684 
4, 1000, 2968255.252142, 13989535.827201, 13252054.068381, 12235446.700865, 6746363.709960, 1299.342368, 4801753.600415, 5222041.191461, 7290781.899905, 4943013.236154 
4, 10000, 5544438.186930, 13913425.795004, 12069488.875250, 12863328.740053, 4123136.651469, 1919.731942, 4399332.225362, 4273066.466801, 9301319.741005, 4735211.136554 
16, 100, 3284159.881113, 4130321.984413, 4070252.559171, 4810698.994564, 3322259.136213, 3482917.378669, 3040772.964488, 2927764.724827, 4602700.634597, 2973706.855695 
16, 1000, 5064110.050708, 12797501.927624, 1153148.665223, 11746981.759874, 2891140.083146, 1041.689801, 3486929.679961, 3148765.182214, 7371080.945986, 1136356.372722 
16, 10000, 1204408.680767, 2739313.066571, 9697157.763060, 4517980.857880, 1316363.932306, 1137.145005, 1873949.534164, 2582348.219941, 2221381.398510, 902774.875498 
24, 100, 3432587.556012, 4455293.910170, 560184.861004, 4261908.482619, 3557299.950050, 1039.481955, 2782060.347526, 2772422.253771, 4711563.944757, 2701440.205309 
24, 1000, 6158654.641893, 13078555.800476, 2794304.927128, 8151251.913421, 2863179.052123, 1336.069526, 3878126.638609, 3538646.591531, 7486996.023781, 1193343.470455 
24, 10000, 1573692.901004, 2921235.920875, 9593490.624741, 2166396.550115, 1582858.173599, 1087.651137, 926323.583918, 1076473.145651, 1228404.809790, 759393.068127 
32, 100, 2916541.346531, 4349652.231711, 739408.436281, 5912983.062999, 3516348.272319, 3533818.644427, 3612296.709536, 1875786.584726, 4121554.959647, 2911078.381695 
32, 1000, 9059548.126726, 2695059.114437, 1769511.309085, 2964109.908825, 3328857.060854, 1030.418684, 817832.134536, 713479.434747, 3378243.919135, 5397134.661208 
32, 10000, 1053549.255005, 1142990.525769, 9544042.894746, 1038165.915102, 742135.951175, 1030.385413, 888170.487256, 918625.774882, 1508281.286749, 682844.019650 
48, 100, 1288533.528045, 5190255.295682, 559967.372568, 2203430.833618, 2604313.611445, 1019.820688, 2319153.161223, 2786966.056495, 2731750.625315, 3587886.398547 
48, 1000, 1839820.264892, 745900.739321, 1603977.382716, 3263518.513533, 1907273.375095, 1020.086922, 3298653.489646, 230840.524978, 4393334.103997, 151042.586558 
48, 10000, 1027801.107792, 507011.504880, 9507133.747130, 575398.899873, 620065.549842, 1020.025358, 931820.944456, 682072.096720, 1017801.045548, 462582.596303 
64, 100, 943933.032671, 2283113.981968, 462665.664128, 2273584.711280, 2576086.112119, 1012.226221, 149843.660383, 1818673.686747, 2828365.500835, 1254855.211276 
64, 1000, 813923.297496, 1348811.592665, 2038994.430391, 1076155.868331, 2303148.212878, 1014.993614, 411890.334327, 304987.076721, 340657.554137, 415547.323938 
64, 10000, 958715.970609, 336319.140859, 8794225.403802, 402969.005364, 526840.594193, 1014.868870, 1035615.156366, 724050.857287, 561375.384358, 468753.926386 
