1, 100, 2017756.255044, 3033980.582524, 2541037.759821, 2545889.661142, 2598482.486228, 3071347.400104, 2540263.171265, 2651394.633577, 2807805.699846, 2703506.447863 
1, 1000, 8409085.175624, 12735284.378900, 11319772.246182, 10162911.470878, 6499753.009386, 6483528.595603, 4858661.535920, 5161503.442723, 6538469.082849, 4937369.468295 
4, 100, 2853901.640280, 3810104.396860, 3769175.681279, 3762156.468088, 3618435.931069, 3658012.418952, 2873088.498308, 2841292.503960, 3967427.420875, 3141147.461168 
4, 1000, 4456149.263176, 13440995.708962, 13264402.654207, 12174299.445156, 6992676.919096, 6954949.315807, 4270775.722348, 5376806.607020, 7475545.621386, 2770445.716233 
16, 100, 3343097.965307, 5220415.740859, 5153709.382328, 6804919.957129, 3771263.443965, 1044.323974, 2799072.107596, 2745956.150513, 2735201.704031, 2796547.661911 
16, 1000, 9022497.032444, 13460977.048193, 13107845.619071, 6868444.391786, 4996101.479564, 1062.825220, 4417706.277202, 2114617.278723, 6620014.870208, 2041598.071098 
24, 1000, 3772417.591538, 13780534.650293, 2221267.282963, 11852162.056587, 2302121.395274, 1040.811305, 4445293.989518, 3129195.077150, 7287580.687182, 4426481.944657 
32, 100, 1405536.319717, 4851079.440974, 424481.492541, 3604805.205339, 3524143.688149, 1030.720942, 2667900.570681, 2803346.144041, 3179539.662273, 2885635.935546 
32, 1000, 1546828.018875, 13286046.080990, 1874426.213241, 5464447.281403, 2988136.630680, 1030.377453, 4350788.288059, 2866113.793316, 6906879.294946, 3006616.529457 
24, 100, 3481197.183711, 4286074.009783, 4297470.938353, 6153246.606741, 4073222.971620, 1010.808797, 2485653.120893, 2759486.597519, 3162351.155378, 2751044.250547 
64, 100, 1698702.244570, 6541806.744807, 1158957.126916, 5428227.802365, 3147143.721202, 1006.172258, 2961746.727154, 2696202.440990, 
64, 100, 1319615.109511, 2849663.761939, 852343.024385, 4363352.745708, 4282148.059284, 1015.266299, 3592143.533075, 2774732.075773, 3413812.177388, 3266924.583556 

