1, 100, 692856.647960, 1047515.293723, 840371.444178, 1099783.342681, 1216027.239010, 869943.453676, 1779232.794819, 1254941.331493, 691481.637705, 1018879.843500 
1, 1000, 4549383.558528, 6523199.759946, 5257540.627645, 4889043.165362, 4885699.070251, 4960022.220900, 2990466.393139, 3911827.410175, 3306550.276097, 2517648.717510 
4, 100, 1926290.494238, 2311083.378111, 2224298.233907, 2054073.484479, 2651587.969745, 2526065.841906, 1270757.021727, 1997134.112548, 1849240.655556, 1531745.423911 
4, 1000, 3943291.524585, 3944279.168191, 9300314.118109, 7638719.139575, 3937007.874016, 7553882.790178, 2091299.878809, 5654365.594316, 1877296.167875, 1388464.153847 
16, 100, 3083671.573559, 1853888.124804, 1247671.338416, 1529391.072944, 1367681.514844, 1054.837156, 1825917.066847, 1928793.756495, 1539629.584367, 1828632.034662 
24, 100, 2980174.389871, 2382642.449754, 1344803.762313, 3148660.048358, 1137557.209648, 1034.211871, 1717673.211240, 2130001.065001, 2035948.056179, 1602594.065594 
32, 1000, 1986797.112315, 770708.157483, 1491056.688577, 1071596.546579, 372335.521918, 1026.796274, 163301.334063, 238150.498225, 4271244.301559, 351429.387968 
48, 100, 4048442.994127, 2621841.909487, 1885487.286513, 4877974.421122, 3025833.049661, 1018.354933, 312635.841902, 1335489.778356, 2032229.465803, 1815020.657204 
48, 1000, 2232414.641998, 451006.230134, 2671714.277079, 1227296.391081, 429190.428467, 1018.450385, 239907.899357, 235720.776875, 7998381.660777, 269413.187432 
1, 100, 695613.461512, 792286.300578, 827081.972094, 812413.681046, 777974.000109, 762526.402477, 761788.679820, 692290.651307, 766506.722264, 705855.779547 
1, 1000, 4985044.865404, 4986610.949600, 5275736.360903, 4119311.745394, 4777374.355054, 4670060.243777, 3022252.847718, 3995924.157359, 3277205.723312, 2032863.267584 
4, 100, 1965370.177473, 2728810.784260, 1810798.698036, 2534035.261101, 2504743.357734, 2515849.854081, 1876577.497959, 2022786.692086, 1787246.211038, 1622250.791861 
4, 1000, 3270239.512342, 3776360.174128, 9690063.324564, 7862268.775589, 3827066.352720, 3507.141589, 3865148.822724, 1718783.771416, 4551542.233191, 968241.438749 
16, 100, 2920699.361462, 2568605.857064, 1249618.280666, 2456293.330550, 2317282.291329, 2324868.390653, 1776944.588204, 2141086.922776, 1889252.045115, 1489687.175004 
16, 1000, 7983318.855252, 8658345.996164, 1566026.618537, 6226887.544746, 5702766.126710, 1056.661025, 1637152.055306, 5570204.419539, 4743577.048440, 140868.414154 
24, 100, 3269589.952550, 3342418.211723, 1858297.102992, 2920642.492671, 2670176.465287, 1038.266850, 1874442.060605, 2106941.318173, 34371.538544, 1859819.225571 
24, 1000, 3076064.145166, 9521270.518338, 1763743.474976, 4117484.882397, 6710454.244628, 1037.758547, 899168.684832, 161034.727568, 7859153.490578, 1909675.834119 
32, 100, 3773567.105816, 3525677.398315, 935697.138229, 2610701.919845, 2192058.582766, 1027.990833, 1903859.837839, 2237341.367253, 2192776.582791, 278639.358732 
48, 100, 2143829.522676, 473385.292629, 1065631.819766, 1246350.853478, 60758.383100, 1018.355562, 1267634.311797, 22210.452225, 2288427.707138, 1944280.958320 
48, 1000, 3095968.043418, 571329.887794, 3513933.147568, 6168779.345076, 552994.359619, 1018.366443, 1550409.330673, 283016.303089, 990986.052800, 276749.191680 
64, 1000, 2158910.521997, 380486.488836, 2501999.449404, 930707.272960, 394933.889270, 1013.714195, 166020.050133, 366061.818529, 401441.780664, 1164390.444059 
32, 1000, 2139350.041390, 477217.352774, 2015553.395694, 1846802.748712, 577707.196401, 2684.986396, 420158.804535, 2932138.584598, 529603.757751, 155584.821709 
64, 1000, 2198647.529455, 382653.146638, 1987704.803475, 1083880.477045, 322734.096766, 1013.835562, 230055.541519, 301027.949773, 385332.274007, 261771.936117 
