1, 100, 1677008.217340, 2824938.557586, 2133970.679243, 2429956.503779, 2419667.053813, 2827734.419183, 2190868.460258, 2616157.388028, 3170577.045022, 2658160.552897 
1, 1000, 8206474.908703, 12757542.897238, 11218811.703464, 10269681.845256, 6417126.025938, 6560646.617331, 4056383.733901, 5113677.040613, 7151438.869501, 4905303.123206 
4, 100, 2890006.358014, 3467105.833406, 3681139.680845, 3559732.308130, 3374189.140172, 3486598.387448, 2700932.496945, 2870840.869291, 4098360.655738, 3226665.160890 
4, 1000, 6557538.300122, 13858909.373127, 12912639.537211, 12033875.359136, 5324395.448174, 6925615.427501, 4032335.296745, 4071856.043601, 6094588.005851, 3137006.401846 
16, 100, 3600530.178069, 4347849.716575, 370832.365693, 3939712.548723, 2885487.620356, 1024.586023, 2707656.066757, 2697135.305164, 3323860.331389, 2712655.214741 
16, 1000, 9214286.290179, 13707854.772133, 13272445.987366, 11848937.890830, 3006734.333223, 1062.823234, 3824907.222094, 3987395.841744, 7836349.593269, 1884864.245598 
24, 100, 1607146.444523, 4339187.017152, 4491337.333119, 4364120.384261, 3632060.195344, 1040.900782, 2556169.154494, 2520092.487394, 3506244.768025, 2891040.304716 
24, 1000, 1943045.451719, 8566163.440257, 12908361.391091, 12030159.610143, 7201752.906657, 1039.583055, 4588176.727391, 284281.180289, 6804453.060898, 461802.177224 
32, 100, 1453977.742327, 5847119.745358, 2703467.619639, 3640773.937520, 2828016.809025, 1030.369986, 2799625.550083, 2447203.496442, 3526497.218475, 2819490.077598 
32, 1000, 1951408.822649, 13407830.592060, 2130670.563308, 2576366.108065, 3678703.422585, 1030.380714, 4427010.018185, 2454863.498849, 7041091.369162, 1636364.770662 
48, 100, 879530.037783, 4316360.444873, 733037.176133, 4243630.355042, 4472505.273829, 1019.099137, 2826119.467135, 2324405.678523, 3909466.528858, 2806014.926830 
48, 1000, 940650.904950, 9077154.107951, 2466731.880891, 5115756.241462, 262433.642628, 1019.773212, 223998.722909, 350630.698064, 1063982.050800, 2345240.281104 
64, 100, 1053591.248081, 2212212.727759, 372172.650893, 1101599.488032, 2361967.888308, 1015.127027, 284839.054140, 1919051.412887, 3387336.653629, 47356.635832 
64, 1000, 930199.582024, 477390.986649, 1545213.042264, 1756797.034000, 154990.436315, 1014.941356, 2735067.981824, 2276573.436834, 2498243.227555, 365046.890302 
